initiative,group,feedback_url
Erasmus+ 2021-27 interim evaluation & Erasmus+ 2014-20 final evaluation,pre2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13454-Erasmus%2B-2021-27-interim-evaluation-Erasmus%2B-2014-20-final-evaluation/F3332477_en
Erasmus+ 2021-27 interim evaluation & Erasmus+ 2014-20 final evaluation,pre2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13454-Erasmus%2B-2021-27-interim-evaluation-Erasmus%2B-2014-20-final-evaluation/F3333853_en
Erasmus+ 2021-27 interim evaluation & Erasmus+ 2014-20 final evaluation,pre2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13454-Erasmus%2B-2021-27-interim-evaluation-Erasmus%2B-2014-20-final-evaluation/F3332364_en
Erasmus+ 2021-27 interim evaluation & Erasmus+ 2014-20 final evaluation,pre2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13454-Erasmus%2B-2021-27-interim-evaluation-Erasmus%2B-2014-20-final-evaluation/F3336285_en
Erasmus+ 2021-27 interim evaluation & Erasmus+ 2014-20 final evaluation,pre2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13454-Erasmus%2B-2021-27-interim-evaluation-Erasmus%2B-2014-20-final-evaluation/F3338574_en
Erasmus+ 2021-27 interim evaluation & Erasmus+ 2014-20 final evaluation,pre2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13454-Erasmus%2B-2021-27-interim-evaluation-Erasmus%2B-2014-20-final-evaluation/F3334560_en
Erasmus+ 2021-27 interim evaluation & Erasmus+ 2014-20 final evaluation,pre2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13454-Erasmus%2B-2021-27-interim-evaluation-Erasmus%2B-2014-20-final-evaluation/F3338224_en
Erasmus+ 2021-27 interim evaluation & Erasmus+ 2014-20 final evaluation,pre2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13454-Erasmus%2B-2021-27-interim-evaluation-Erasmus%2B-2014-20-final-evaluation/F3337349_en
Erasmus+ 2021-27 interim evaluation & Erasmus+ 2014-20 final evaluation,pre2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13454-Erasmus%2B-2021-27-interim-evaluation-Erasmus%2B-2014-20-final-evaluation/F3338440_en
Erasmus+ 2021-27 interim evaluation & Erasmus+ 2014-20 final evaluation,pre2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13454-Erasmus%2B-2021-27-interim-evaluation-Erasmus%2B-2014-20-final-evaluation/F3336294_en
Erasmus+ 2021-27 interim evaluation & Erasmus+ 2014-20 final evaluation,pre2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13454-Erasmus%2B-2021-27-interim-evaluation-Erasmus%2B-2014-20-final-evaluation/F3336530_en
Erasmus+ 2021-27 interim evaluation & Erasmus+ 2014-20 final evaluation,pre2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13454-Erasmus%2B-2021-27-interim-evaluation-Erasmus%2B-2014-20-final-evaluation/F3335078_en
Erasmus+ 2021-27 interim evaluation & Erasmus+ 2014-20 final evaluation,pre2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13454-Erasmus%2B-2021-27-interim-evaluation-Erasmus%2B-2014-20-final-evaluation/F3337754_en
Erasmus+ 2021-27 interim evaluation & Erasmus+ 2014-20 final evaluation,pre2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13454-Erasmus%2B-2021-27-interim-evaluation-Erasmus%2B-2014-20-final-evaluation/F3333651_en
Erasmus+ 2021-27 interim evaluation & Erasmus+ 2014-20 final evaluation,pre2022,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13454-Erasmus%2B-2021-27-interim-evaluation-Erasmus%2B-2014-20-final-evaluation/F3337661_en
